origin_date,scenario_id,age_group,location,target_variables,sample,value
2022-05-22,A-2022-05-22,0-15,IE,inc case,83,50044
2022-05-22,A-2022-05-22,0-15,IE,inc case,84,59269
2022-05-22,A-2022-05-22,0-15,IE,inc case,85,26061
2022-05-22,A-2022-05-22,0-15,IE,inc case,86,56446
2022-05-22,A-2022-05-22,0-15,IE,inc case,87,12532
2022-05-22,A-2022-05-22,0-15,IE,inc case,88,24861
2022-05-22,A-2022-05-22,0-15,IE,inc case,89,22808
2022-05-22,A-2022-05-22,0-15,IE,inc case,90,32713
2022-05-22,A-2022-05-22,0-15,IE,inc case,91,30237
2022-05-22,A-2022-05-22,0-15,IE,inc case,92,31898
2022-05-22,A-2022-05-22,0-15,IE,inc case,93,27800
2022-05-22,A-2022-05-22,0-15,IE,inc case,94,57082
2022-05-22,A-2022-05-22,0-15,IE,inc case,95,96290
2022-05-22,A-2022-05-22,0-15,IE,inc case,96,67182
2022-05-22,A-2022-05-22,0-15,IE,inc case,97,63695
2022-05-22,A-2022-05-22,0-15,IE,inc case,98,35008
2022-05-22,A-2022-05-22,0-15,IE,inc case,99,42571
2022-05-22,A-2022-05-22,0-15,IE,inc case,100,36157
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,1,46180
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,2,96846
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,3,49249
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,4,88139
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,5,26349
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,6,68035
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,7,80407
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,8,1350
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,9,18182
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,10,91710
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,11,57448
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,12,87511
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,13,84399
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,14,71940
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,15,11877
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,16,52033
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,17,99116
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,18,98145
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,19,64209
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,20,94074
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,21,42667
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,22,97931
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,23,96164
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,24,29419
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,25,10405
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,26,37163
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,27,79507
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,28,42269
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,29,33468
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,30,40329
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,31,78678
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,32,841
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,33,65645
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,34,95955
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,35,80422
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,36,16445
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,37,20005
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,38,33249
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,39,91766
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,40,56185
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,41,42834
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,42,71947
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,43,43696
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,44,23925
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,45,91288
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,46,72981
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,47,50927
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,48,47433
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,49,61688
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,50,19720
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,51,99115
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,52,66444
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,53,12497
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,54,43392
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,55,51509
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,56,32632
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,57,5223
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,58,95264
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,59,51497
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,60,38327
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,61,26152
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,62,70605
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,63,67632
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,64,96027
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,65,47529
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,66,75054
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,67,97802
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,68,52640
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,69,34312
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,70,78259
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,71,47024
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,72,34998
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,73,59712
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,74,75059
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,75,50702
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,76,37589
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,77,54980
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,78,20484
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,79,49885
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,80,53095
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,81,16998
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,82,48777
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,83,82434
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,84,44010
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,85,56779
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,86,70436
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,87,513
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,88,52693
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,89,77492
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,90,14682
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,91,97578
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,92,55947
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,93,56397
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,94,45954
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,95,60132
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,96,20337
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,97,76677
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,98,94826
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,99,52489
2022-05-22,A-2022-05-22,0-15,IE,inc hosp,100,22918
2022-05-22,A-2022-05-22,0-15,PL,inc case,1,85139
2022-05-22,A-2022-05-22,0-15,PL,inc case,2,99904
2022-05-22,A-2022-05-22,0-15,PL,inc case,3,38402
2022-05-22,A-2022-05-22,0-15,PL,inc case,4,48931
2022-05-22,A-2022-05-22,0-15,PL,inc case,5,49321
2022-05-22,A-2022-05-22,0-15,PL,inc case,6,61354
2022-05-22,A-2022-05-22,0-15,PL,inc case,7,35865
2022-05-22,A-2022-05-22,0-15,PL,inc case,8,30402
2022-05-22,A-2022-05-22,0-15,PL,inc case,9,30202
2022-05-22,A-2022-05-22,0-15,PL,inc case,10,49349
2022-05-22,A-2022-05-22,0-15,PL,inc case,11,47266
2022-05-22,A-2022-05-22,0-15,PL,inc case,12,66658
2022-05-22,A-2022-05-22,0-15,PL,inc case,13,15421
2022-05-22,A-2022-05-22,0-15,PL,inc case,14,63593
2022-05-22,A-2022-05-22,0-15,PL,inc case,15,75852
2022-05-22,A-2022-05-22,0-15,PL,inc case,16,3510
2022-05-22,A-2022-05-22,0-15,PL,inc case,17,20321
2022-05-22,A-2022-05-22,0-15,PL,inc case,18,37618
2022-05-22,A-2022-05-22,0-15,PL,inc case,19,19540
2022-05-22,A-2022-05-22,0-15,PL,inc case,20,95837
2022-05-22,A-2022-05-22,0-15,PL,inc case,21,3007
2022-05-22,A-2022-05-22,0-15,PL,inc case,22,76598
2022-05-22,A-2022-05-22,0-15,PL,inc case,23,40249
2022-05-22,A-2022-05-22,0-15,PL,inc case,24,88391
2022-05-22,A-2022-05-22,0-15,PL,inc case,25,78150
2022-05-22,A-2022-05-22,0-15,PL,inc case,26,7113
2022-05-22,A-2022-05-22,0-15,PL,inc case,27,30421
2022-05-22,A-2022-05-22,0-15,PL,inc case,28,73922
2022-05-22,A-2022-05-22,0-15,PL,inc case,29,36602
2022-05-22,A-2022-05-22,0-15,PL,inc case,30,69039
2022-05-22,A-2022-05-22,0-15,PL,inc case,31,97203
2022-05-22,A-2022-05-22,0-15,PL,inc case,32,80683
2022-05-22,A-2022-05-22,0-15,PL,inc case,33,33998
2022-05-22,A-2022-05-22,0-15,PL,inc case,34,99074
2022-05-22,A-2022-05-22,0-15,PL,inc case,35,89877
2022-05-22,A-2022-05-22,0-15,PL,inc case,36,53310
2022-05-22,A-2022-05-22,0-15,PL,inc case,37,24792
2022-05-22,A-2022-05-22,0-15,PL,inc case,38,17090
2022-05-22,A-2022-05-22,0-15,PL,inc case,39,95685
2022-05-22,A-2022-05-22,0-15,PL,inc case,40,25644
2022-05-22,A-2022-05-22,0-15,PL,inc case,41,16580
2022-05-22,A-2022-05-22,0-15,PL,inc case,42,30383
2022-05-22,A-2022-05-22,0-15,PL,inc case,43,37192
2022-05-22,A-2022-05-22,0-15,PL,inc case,44,55901
2022-05-22,A-2022-05-22,0-15,PL,inc case,45,41463
2022-05-22,A-2022-05-22,0-15,PL,inc case,46,97200
2022-05-22,A-2022-05-22,0-15,PL,inc case,47,50083
2022-05-22,A-2022-05-22,0-15,PL,inc case,48,68096
2022-05-22,A-2022-05-22,0-15,PL,inc case,49,37597
2022-05-22,A-2022-05-22,0-15,PL,inc case,50,92170
2022-05-22,A-2022-05-22,0-15,PL,inc case,51,2326
2022-05-22,A-2022-05-22,0-15,PL,inc case,52,65476
2022-05-22,A-2022-05-22,0-15,PL,inc case,53,89671
2022-05-22,A-2022-05-22,0-15,PL,inc case,54,88669
2022-05-22,A-2022-05-22,0-15,PL,inc case,55,47883
2022-05-22,A-2022-05-22,0-15,PL,inc case,56,26435
2022-05-22,A-2022-05-22,0-15,PL,inc case,57,64384
2022-05-22,A-2022-05-22,0-15,PL,inc case,58,435
2022-05-22,A-2022-05-22,0-15,PL,inc case,59,30950
2022-05-22,A-2022-05-22,0-15,PL,inc case,60,98105
2022-05-22,A-2022-05-22,0-15,PL,inc case,61,33419
2022-05-22,A-2022-05-22,0-15,PL,inc case,62,11143
2022-05-22,A-2022-05-22,0-15,PL,inc case,63,25341
2022-05-22,A-2022-05-22,0-15,PL,inc case,64,2847
2022-05-22,A-2022-05-22,0-15,PL,inc case,65,81105
2022-05-22,A-2022-05-22,0-15,PL,inc case,66,14667
2022-05-22,A-2022-05-22,0-15,PL,inc case,67,84290
2022-05-22,A-2022-05-22,0-15,PL,inc case,68,59625
2022-05-22,A-2022-05-22,0-15,PL,inc case,69,41755
2022-05-22,A-2022-05-22,0-15,PL,inc case,70,6477
2022-05-22,A-2022-05-22,0-15,PL,inc case,71,61851
2022-05-22,A-2022-05-22,0-15,PL,inc case,72,59776
2022-05-22,A-2022-05-22,0-15,PL,inc case,73,56693
2022-05-22,A-2022-05-22,0-15,PL,inc case,74,25295
2022-05-22,A-2022-05-22,0-15,PL,inc case,75,73975
2022-05-22,A-2022-05-22,0-15,PL,inc case,76,22364
2022-05-22,A-2022-05-22,0-15,PL,inc case,77,33266
2022-05-22,A-2022-05-22,0-15,PL,inc case,78,81867
2022-05-22,A-2022-05-22,0-15,PL,inc case,79,11098
2022-05-22,A-2022-05-22,0-15,PL,inc case,80,33059
2022-05-22,A-2022-05-22,0-15,PL,inc case,81,31719
2022-05-22,A-2022-05-22,0-15,PL,inc case,82,31408
2022-05-22,A-2022-05-22,0-15,PL,inc case,83,42012
2022-05-22,A-2022-05-22,0-15,PL,inc case,84,12907
2022-05-22,A-2022-05-22,0-15,PL,inc case,85,5866
2022-05-22,A-2022-05-22,0-15,PL,inc case,86,5562
2022-05-22,A-2022-05-22,0-15,PL,inc case,87,82619
2022-05-22,A-2022-05-22,0-15,PL,inc case,88,14708
2022-05-22,A-2022-05-22,0-15,PL,inc case,89,74944
2022-05-22,A-2022-05-22,0-15,PL,inc case,90,12467
2022-05-22,A-2022-05-22,0-15,PL,inc case,91,86107
2022-05-22,A-2022-05-22,0-15,PL,inc case,92,44840
2022-05-22,A-2022-05-22,0-15,PL,inc case,93,60498
2022-05-22,A-2022-05-22,0-15,PL,inc case,94,86767
2022-05-22,A-2022-05-22,0-15,PL,inc case,95,6560
2022-05-22,A-2022-05-22,0-15,PL,inc case,96,9701
2022-05-22,A-2022-05-22,0-15,PL,inc case,97,67410
2022-05-22,A-2022-05-22,0-15,PL,inc case,98,2756
2022-05-22,A-2022-05-22,0-15,PL,inc case,99,37003
2022-05-22,A-2022-05-22,0-15,PL,inc case,100,72247
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,1,82312
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,2,4707
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,3,37960
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,4,80209
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,5,74353
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,6,39294
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,7,41546
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,8,59009
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,9,88911
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,10,79382
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,11,71063
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,12,81621
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,13,52767
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,14,63055
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,15,29452
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,16,60341
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,17,70870
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,18,20159
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,19,78368
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,20,85879
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,21,30160
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,22,74224
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,23,71468
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,24,3916
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,25,61755
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,26,5361
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,27,19070
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,28,97135
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,29,74262
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,30,94924
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,31,7688
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,32,59018
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,33,12338
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,34,90361
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,35,20650
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,36,68356
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,37,21041
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,38,32825
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,39,18257
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,40,41405
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,41,38735
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,42,31910
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,43,40595
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,44,77971
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,45,88184
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,46,42668
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,47,8230
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,48,56320
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,49,20285
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,50,2315
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,51,64119
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,52,39344
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,53,11178
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,54,12344
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,55,92983
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,56,43591
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,57,6833
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,58,23140
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,59,1847
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,60,29429
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,61,30137
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,62,98690
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,63,60614
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,64,79397
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,65,27725
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,66,5706
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,67,47727
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,68,25689
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,69,10301
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,70,12522
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,71,45043
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,72,65057
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,73,36678
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,74,52584
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,75,35302
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,76,45259
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,77,10433
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,78,78784
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,79,96086
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,80,71815
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,81,71384
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,82,79665
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,83,21511
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,84,69094
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,85,13904
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,86,707
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,87,4268
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,88,10688
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,89,96423
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,90,30192
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,91,52445
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,92,36963
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,93,53914
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,94,79563
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,95,36299
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,96,22607
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,97,37283
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,98,93577
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,99,54452
2022-05-22,A-2022-05-22,0-15,PL,inc hosp,100,18701
2022-05-22,A-2022-05-22,0-15,FR,inc case,1,34248
2022-05-22,A-2022-05-22,0-15,FR,inc case,2,175
2022-05-22,A-2022-05-22,0-15,FR,inc case,3,95683
2022-05-22,A-2022-05-22,0-15,FR,inc case,4,10392
2022-05-22,A-2022-05-22,0-15,FR,inc case,5,56298
2022-05-22,A-2022-05-22,0-15,FR,inc case,6,10678
2022-05-22,A-2022-05-22,0-15,FR,inc case,7,19676
2022-05-22,A-2022-05-22,0-15,FR,inc case,8,52812
2022-05-22,A-2022-05-22,0-15,FR,inc case,9,33202
2022-05-22,A-2022-05-22,0-15,FR,inc case,10,6044
2022-05-22,A-2022-05-22,0-15,FR,inc case,11,95171
2022-05-22,A-2022-05-22,0-15,FR,inc case,12,73455
2022-05-22,A-2022-05-22,0-15,FR,inc case,13,47607
2022-05-22,A-2022-05-22,0-15,FR,inc case,14,69680
2022-05-22,A-2022-05-22,0-15,FR,inc case,15,85243
2022-05-22,A-2022-05-22,0-15,FR,inc case,16,76185
2022-05-22,A-2022-05-22,0-15,FR,inc case,17,54102
2022-05-22,A-2022-05-22,0-15,FR,inc case,18,25250
2022-05-22,A-2022-05-22,0-15,FR,inc case,19,62311
2022-05-22,A-2022-05-22,0-15,FR,inc case,20,288
2022-05-22,A-2022-05-22,0-15,FR,inc case,21,37943
2022-05-22,A-2022-05-22,0-15,FR,inc case,22,96791
2022-05-22,A-2022-05-22,0-15,FR,inc case,23,94510
